dataset,KNN,DecisionTree,RandomForest,GaussianNB,SVM
openml_colleges_aaup_488,0.75051,0.648574,0.759603,0.620836,0.726137
openml_collins_987,0.992742,1.0,1.0,1.0,0.456522
openml_company_quality_and_valuation_finance_46382,0.153107,0.808317,0.640171,0.090608,0.09121
openml_corral_40669,0.941254,1.0,0.993594,0.8509,1.0
openml_CostaMadre1_1446,0.497854,0.600969,0.499987,0.615416,0.465699
openml_covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_44377,0.706192,0.709087,0.762869,0.64838,0.646101
openml_CPMP-2015-classification_41701,0.407715,0.45046,0.441856,0.134881,0.141493
openml_cpu_796,0.908452,0.974425,0.962824,0.929601,0.901324
openml_credit-approval_29,0.684403,0.815993,0.860368,0.793587,0.591348
openml_Creditability-German-Credit-Data_46416,0.521436,0.625317,0.668662,0.691054,0.473772
openml_Credit_Approval_Classification_46365,0.511265,0.612206,0.685567,0.665951,0.455622
openml_cylinder-bands_6332,0.582115,0.645788,0.746611,0.641071,0.383367
openml_dataset_credit-g_46542,0.510913,0.643917,0.667503,0.65397,0.455622
openml_datatrieve_1075,0.477878,0.532966,0.525588,0.523842,0.477878
openml_dermatology_35,0.637432,0.883391,0.959243,0.907698,0.206237
openml_diabetes_37,0.656759,0.671777,0.737186,0.726863,0.708246
openml_diggle_table_a2_694,0.973442,0.995518,0.962234,0.882703,0.500126
openml_disclosure_x_bias_774,0.502663,0.514938,0.521963,0.547328,0.492964
openml_doa_bwin_45711,0.488769,0.544135,0.513138,0.461181,0.400449
openml_dresses-sales_23381,0.524582,0.482274,0.546307,0.358994,0.516047
openml_echoMonths_944,0.598151,0.666472,0.727525,0.76334,0.572329
openml_ecoli_39,0.736468,0.5472,0.711926,0.533257,0.765326
openml_electricity_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True_44373,0.69127,0.763417,0.824397,0.681606,0.706533
openml_Engine1_4340,0.759994,0.71126,0.87763,0.764885,0.374995
openml_epiparo_extract_42169,0.312302,0.276967,0.370543,0.319036,0.243523
openml_eucalyptus_188,0.378717,0.556487,0.599633,0.440619,0.09632
openml_fertility_1473,0.458972,0.512245,0.511854,0.456456,0.467994
openml_fishcatch_854,0.97392,0.961079,0.954156,0.679514,0.96749
openml_flags_285,0.17832,0.458585,0.472178,0.423775,0.097007
openml_FOREX_eurnzd-day-High_41713,0.512561,0.59836,0.617661,0.492179,0.366376
openml_fri_c3_1000_25_715,0.617908,0.843271,0.886653,0.64525,0.694682
openml_fruitfly_714,0.56726,0.481544,0.468542,0.453294,0.378049
